toi,pl_rade,pl_orbper,pl_trandurh,pl_trandeplim
1449.02,1.614201,2.3691849,1.6840374,0
145.01,8.86428,5.13002,4.78,0
1450.01,1.0924808,2.0439268,1.008937,0
1451.01,2.51948,16.5379864,2.796,0
1452.01,1.6184944,11.0619937,1.7587777,0
1453.01,2.12746,6.5886877,1.678,0
1453.02,1.17405,4.3135263,1.874,0
1454.01,13.6925582,2.6794168,2.988801,0
1455.01,18.4921,3.6231364,2.385,0
1456.01,10.3984,18.712253,6.475,0
1458.01,15.4018,2.7759678,3.074,0
1459.01,2.4949092,9.155934,3.1412022,0
1460.01,16.4578474,6.8424983,3.3079378,0
1461.01,20.2503751,3.5686777,2.5811179,0
1462.01,1.28228,2.1779407,2.098,0
1463.01,12.0920506,2.8791023,2.7497683,0
1464.01,2.686447,11.3125266,2.5943007,0
1465.01,12.5242,1.4200248,1.431,0
1466.01,2.40733,1.8718991,1.475,0
1467.01,1.8721145,5.9711357,1.5478671,0
1468.01,2.013576,15.5324385,1.7640717,0
1468.02,1.4548629,1.880531,1.1911684,0
1469.01,1.2815317,3.0929386,0.8776502,0
1469.02,1.39215,6.7650398,1.421,0
147.01,35.4084057,3.4231002,2.4377583,0
1470.01,2.2007181,2.5272822,1.265861,0
1471.01,3.91576,20.7724316,5.508,0
1471.02,3.28372,52.5637056,6.5,0
1472.01,4.4784698,6.3634106,2.692302,0
1473.01,2.1916,5.2544884,2.898,0
1474.01,3.7216015,5.222621,4.693629,0
1475.01,5.2961699,8.4953513,0.9060555,0
1476.01,12.9438,1.2174936,2.57,0
1477.01,18.2785375,2.7324809,2.2139341,0
1478.01,12.3422,10.1802014,4.613,0
1479.01,17.1854,16.6828999,1.804,0
148.01,7.42915,4.86709,3.103,0
1481.01,14.8742,2.1853174,1.656,0
1482.01,15.4584,5.7121916,4.775,0
1483.01,6.77338,5.0037857,4.154,0
1484.01,8.21669,1.1623941,1.266,0
1485.01,5.60201,2.9551881,1.361,0
1486.01,1.30468,0.2666485,1.075,0
1487.01,14.6492,23.28798,3.462,0
1488.01,1.3988866,0.4721054,1.6995515,0
1489.01,13.6402,6.98301,3.472,0
1490.01,11.9767,3.9943,4.876,0
1491.01,5.56985,4.4902667,2.758,0
1492.01,3.54647,0.86673,1.089,0
1493.01,18.0411,5.147905,5.405,0
1494.01,12.9814741,5.0267996,2.754044,0
1496.01,11.5303,10.82661,6.877,0
1497.01,4.12435,0.8165295,2.294,0
1498.01,11.8932,1.4014167,3.661,0
150.01,13.8892762,5.8574075,5.8548029,0
1501.01,10.1773,1.077774,2.682,0
1502.01,11.1685,2.7536237,2.39,0
1503.01,6.07704,1.6534102,3.102,0
1504.01,3.80598,1.2456423,1.354,0
1505.01,7.7503736,3.4272549,5.9083927,0
1506.01,18.4382,10.9115374,3.269,0
1507.01,7.77804,0.46741,1.25,0
1508.01,11.8527,2.1575124,2.236,0
1509.01,9.73924,1.577609,1.646,0
151.01,3.59995,1.59782,1.49,0
1510.01,7.11712,1.23852,3.138,0
1511.01,15.8737,1.1025238,2.321,0
1513.01,4.06597,1.76589,3.807,0
1514.01,11.8886,1.36991,4.156,0
1515.01,7.19016,3.66505,2.346,0
1516.01,17.2767,2.0560153,2.773,0
1518.01,19.576504,1.902606,2.3653693,0
1519.01,9.05714,1.0960111,3.167,0
152.01,8.1288,7.00776,2.68,0
1520.01,6.96236,6.1461734,5.386,0
1521.01,15.448,4.1812866,4.394,0
1522.01,4.92227,2.9798592,2.737,0
1523.01,5.19273,6.72694,2.649,0
1524.01,22.7316,10.9554897,6.772,0
1525.01,7.26341,0.6171788,1.433,0
1526.01,6.01061,1.5309799,1.37,0
1527.01,15.2343,5.0625809,3.69,0
153.01,12.4425,7.6316384,2.054,0
1530.01,6.28067,0.50261,1.127,0
1532.01,12.3602,8.905407,2.71,0
1533.01,2.93272,3.6458046,1.828,0
1533.02,9.29431,8.0637954,0.804,0
1534.01,3.93221,1.41853,2.728,0
1535.01,15.3823,6.5344463,2.774,0
1536.01,9.0269074,2.013653,2.1214907,0
1537.01,3.24146,6.4902646,2.545,0
1538.01,5.62882,6.54692,4.589,0
1539.01,9.54526,2.590266,4.378,0
154.01,16.2785,6.74657,1.803,0
1541.01,13.7263,3.7983639,1.594,0
1542.01,6.71582,8.2916,3.361,0
1543.01,7.04152,5.13664,4.45,0
1545.01,7.73846,1.5166573,1.607,0
1546.01,3.03424,1.13345,1.894,0
1547.01,3.45648,0.71933,1.474,0
1548.01,3.34292,12.6017,4.835,0
1549.01,25.2815,2.5798051,3.413,0
155.01,5.28759,5.4499753,4.319,0
1550.01,32.1007,1.6256942,1.988,0
1551.01,6.44889,1.67546,1.202,0
1552.01,10.2119,7.57193,2.656,0
1553.01,18.5099,5.9382163,2.244,0
1554.01,6.3734064,9.4341589,2.8505348,0
1555.01,10.1564,2.09989,0.908,0
1556.01,9.20279,1.44127,2.605,0
1557.01,4.98445,1.08697,1.967,0
1559.01,9.72728,3.4648951,1.046,0
156.01,10.6751,14.152,3.599,0
1560.01,6.2776081,0.2580006,0.5351356,0
1561.01,13.266,2.27456,3.32,0
1562.01,3.95137,0.98999,2.05,0
1563.01,5.13949,1098.2258586,6.121,0
1564.01,24.4148,0.5596691,1.478,0
1565.01,23.8658,1099.2560385,5.661,0
1566.01,7.20703,3.01106,3.073,0
1568.01,10.3751,1.35932,2.831,0
1569.01,14.1349,1.71614,2.038,0
157.01,13.4432705,2.0845434,2.017038,0
1570.01,5.62786,1.74626,3.88,0
1571.01,6.05271,1.2427,1.563,0
